Month,Type,Value,Year,Unit,Month_num
October,"West, Westfjords and Southwest to 2007",26.5,2001,Occupancy rate of beds,10
November,Total,39.4,2001,Occupancy rate of rooms,11
November,East,21.6,2001,Occupancy rate of rooms,11
November,Capital region,56.4,2001,Occupancy rate of rooms,11
November,North,14.5,2001,Occupancy rate of rooms,11
November,South,16.0,2001,Occupancy rate of rooms,11
November,"West, Westfjords and Southwest to 2007",20.0,2001,Occupancy rate of rooms,11
November,Total,30.2,2001,Occupancy rate of beds,11
November,East,13.2,2001,Occupancy rate of beds,11
November,Capital region,44.1,2001,Occupancy rate of beds,11
November,North,10.7,2001,Occupancy rate of beds,11
November,South,12.1,2001,Occupancy rate of beds,11
November,"West, Westfjords and Southwest to 2007",14.3,2001,Occupancy rate of beds,11
December,Total,27.2,2001,Occupancy rate of rooms,12
December,East,6.3,2001,Occupancy rate of rooms,12
December,Capital region,39.6,2001,Occupancy rate of rooms,12
December,North,9.0,2001,Occupancy rate of rooms,12
December,South,7.6,2001,Occupancy rate of rooms,12
December,"West, Westfjords and Southwest to 2007",14.3,2001,Occupancy rate of rooms,12
December,Total,21.6,2001,Occupancy rate of beds,12
December,East,3.8,2001,Occupancy rate of beds,12
December,Capital region,32.5,2001,Occupancy rate of beds,12
December,North,6.4,2001,Occupancy rate of beds,12
December,South,5.5,2001,Occupancy rate of beds,12
December,"West, Westfjords and Southwest to 2007",9.8,2001,Occupancy rate of beds,12
January,Total,26.8,2002,Occupancy rate of rooms,1
January,East,11.0,2002,Occupancy rate of rooms,1
January,Capital region,38.7,2002,Occupancy rate of rooms,1
January,North,9.4,2002,Occupancy rate of rooms,1
January,South,10.2,2002,Occupancy rate of rooms,1
January,"West, Westfjords and Southwest to 2007",14.4,2002,Occupancy rate of rooms,1
January,Total,19.7,2002,Occupancy rate of beds,1
January,East,7.3,2002,Occupancy rate of beds,1
January,Capital region,28.4,2002,Occupancy rate of beds,1
January,North,6.3,2002,Occupancy rate of beds,1
January,South,8.2,2002,Occupancy rate of beds,1
January,"West, Westfjords and Southwest to 2007",11.2,2002,Occupancy rate of beds,1
February,Total,40.4,2002,Occupancy rate of rooms,2
February,East,26.0,2002,Occupancy rate of rooms,2
February,Capital region,56.0,2002,Occupancy rate of rooms,2
February,North,19.8,2002,Occupancy rate of rooms,2
February,South,20.5,2002,Occupancy rate of rooms,2
February,"West, Westfjords and Southwest to 2007",21.3,2002,Occupancy rate of rooms,2
February,Total,32.0,2002,Occupancy rate of beds,2
February,East,17.1,2002,Occupancy rate of beds,2
February,Capital region,45.0,2002,Occupancy rate of beds,2
February,North,14.8,2002,Occupancy rate of beds,2
February,South,15.6,2002,Occupancy rate of beds,2
February,"West, Westfjords and Southwest to 2007",16.7,2002,Occupancy rate of beds,2
March,Total,47.8,2002,Occupancy rate of rooms,3
March,East,15.6,2002,Occupancy rate of rooms,3
March,Capital region,63.4,2002,Occupancy rate of rooms,3
March,North,25.0,2002,Occupancy rate of rooms,3
March,South,33.1,2002,Occupancy rate of rooms,3
March,"West, Westfjords and Southwest to 2007",28.7,2002,Occupancy rate of rooms,3
March,Total,38.5,2002,Occupancy rate of beds,3
March,East,9.3,2002,Occupancy rate of beds,3
March,Capital region,51.6,2002,Occupancy rate of beds,3
March,North,20.5,2002,Occupancy rate of beds,3
March,South,26.2,2002,Occupancy rate of beds,3
March,"West, Westfjords and Southwest to 2007",21.8,2002,Occupancy rate of beds,3
April,Total,48.5,2002,Occupancy rate of rooms,4
April,East,24.4,2002,Occupancy rate of rooms,4
April,Capital region,65.3,2002,Occupancy rate of rooms,4
April,North,25.4,2002,Occupancy rate of rooms,4
April,South,25.5,2002,Occupancy rate of rooms,4
April,"West, Westfjords and Southwest to 2007",31.8,2002,Occupancy rate of rooms,4
April,Total,36.0,2002,Occupancy rate of beds,4
April,East,17.7,2002,Occupancy rate of beds,4
April,Capital region,47.5,2002,Occupancy rate of beds,4
April,North,20.9,2002,Occupancy rate of beds,4
April,South,20.5,2002,Occupancy rate of beds,4
April,"West, Westfjords and Southwest to 2007",22.8,2002,Occupancy rate of beds,4
