Month,Citizenship,Value,Year,Unit,Month_num
September,Total,70701.0,2002,Overnight stays,9
September,Icelanders,12234.0,2002,Overnight stays,9
September,Foreigners,58467.0,2002,Overnight stays,9
October,Total,25991.0,2002,Arrivals,10
October,Icelanders,10152.0,2002,Arrivals,10
October,Foreigners,15839.0,2002,Arrivals,10
October,Total,58208.0,2002,Overnight stays,10
October,Icelanders,15339.0,2002,Overnight stays,10
October,Foreigners,42869.0,2002,Overnight stays,10
November,Total,22050.0,2002,Arrivals,11
November,Icelanders,10934.0,2002,Arrivals,11
November,Foreigners,11116.0,2002,Arrivals,11
November,Total,45737.0,2002,Overnight stays,11
November,Icelanders,15110.0,2002,Overnight stays,11
November,Foreigners,30627.0,2002,Overnight stays,11
December,Total,12312.0,2002,Arrivals,12
December,Icelanders,4858.0,2002,Arrivals,12
December,Foreigners,7454.0,2002,Arrivals,12
December,Total,28303.0,2002,Overnight stays,12
December,Icelanders,7175.0,2002,Overnight stays,12
December,Foreigners,21128.0,2002,Overnight stays,12
January,Total,14477.0,2003,Arrivals,1
January,Icelanders,5585.0,2003,Arrivals,1
January,Foreigners,8892.0,2003,Arrivals,1
January,Total,30643.0,2003,Overnight stays,1
January,Icelanders,8275.0,2003,Overnight stays,1
January,Foreigners,22368.0,2003,Overnight stays,1
February,Total,19647.0,2003,Arrivals,2
February,Icelanders,8157.0,2003,Arrivals,2
February,Foreigners,11490.0,2003,Arrivals,2
February,Total,45925.0,2003,Overnight stays,2
February,Icelanders,12436.0,2003,Overnight stays,2
February,Foreigners,33489.0,2003,Overnight stays,2
March,Total,26737.0,2003,Arrivals,3
March,Icelanders,12063.0,2003,Arrivals,3
March,Foreigners,14674.0,2003,Arrivals,3
March,Total,63794.0,2003,Overnight stays,3
March,Icelanders,20416.0,2003,Overnight stays,3
March,Foreigners,43378.0,2003,Overnight stays,3
April,Total,27032.0,2003,Arrivals,4
April,Icelanders,10192.0,2003,Arrivals,4
April,Foreigners,16840.0,2003,Arrivals,4
April,Total,65702.0,2003,Overnight stays,4
April,Icelanders,15523.0,2003,Overnight stays,4
April,Foreigners,50179.0,2003,Overnight stays,4
May,Total,37492.0,2003,Arrivals,5
May,Icelanders,11323.0,2003,Arrivals,5
May,Foreigners,26169.0,2003,Arrivals,5
May,Total,79722.0,2003,Overnight stays,5
May,Icelanders,17246.0,2003,Overnight stays,5
May,Foreigners,62476.0,2003,Overnight stays,5
June,Total,51666.0,2003,Arrivals,6
June,Icelanders,7721.0,2003,Arrivals,6
June,Foreigners,43945.0,2003,Arrivals,6
June,Total,100540.0,2003,Overnight stays,6
June,Icelanders,12329.0,2003,Overnight stays,6
June,Foreigners,88211.0,2003,Overnight stays,6
July,Total,75183.0,2003,Arrivals,7
July,Icelanders,8097.0,2003,Arrivals,7
July,Foreigners,67086.0,2003,Arrivals,7
July,Total,127869.0,2003,Overnight stays,7
July,Icelanders,10961.0,2003,Overnight stays,7
July,Foreigners,116908.0,2003,Overnight stays,7
August,Total,74332.0,2003,Arrivals,8
August,Icelanders,9506.0,2003,Arrivals,8
August,Foreigners,64826.0,2003,Arrivals,8
August,Total,133154.0,2003,Overnight stays,8
August,Icelanders,14387.0,2003,Overnight stays,8
August,Foreigners,118767.0,2003,Overnight stays,8
September,Total,38488.0,2003,Arrivals,9
September,Icelanders,9157.0,2003,Arrivals,9
September,Foreigners,29331.0,2003,Arrivals,9
September,Total,77924.0,2003,Overnight stays,9
September,Icelanders,14137.0,2003,Overnight stays,9
September,Foreigners,63787.0,2003,Overnight stays,9
October,Total,35070.0,2003,Arrivals,10
October,Icelanders,13442.0,2003,Arrivals,10
October,Foreigners,21628.0,2003,Arrivals,10
October,Total,78452.0,2003,Overnight stays,10
October,Icelanders,21581.0,2003,Overnight stays,10
October,Foreigners,56871.0,2003,Overnight stays,10
November,Total,23382.0,2003,Arrivals,11
November,Icelanders,11138.0,2003,Arrivals,11
November,Foreigners,12244.0,2003,Arrivals,11
November,Total,50733.0,2003,Overnight stays,11
November,Icelanders,16807.0,2003,Overnight stays,11
November,Foreigners,33926.0,2003,Overnight stays,11
December,Total,15419.0,2003,Arrivals,12
December,Icelanders,5860.0,2003,Arrivals,12
December,Foreigners,9559.0,2003,Arrivals,12
December,Total,34704.0,2003,Overnight stays,12
December,Icelanders,8872.0,2003,Overnight stays,12
December,Foreigners,25832.0,2003,Overnight stays,12
January,Total,14580.0,2004,Arrivals,1
January,Icelanders,5877.0,2004,Arrivals,1
January,Foreigners,8703.0,2004,Arrivals,1
January,Total,32053.0,2004,Overnight stays,1
January,Icelanders,9680.0,2004,Overnight stays,1
January,Foreigners,22373.0,2004,Overnight stays,1
February,Total,22626.0,2004,Arrivals,2
February,Icelanders,8465.0,2004,Arrivals,2
February,Foreigners,14161.0,2004,Arrivals,2
February,Total,53638.0,2004,Overnight stays,2
February,Icelanders,14832.0,2004,Overnight stays,2
February,Foreigners,38806.0,2004,Overnight stays,2
March,Total,27604.0,2004,Arrivals,3
March,Icelanders,10945.0,2004,Arrivals,3
March,Foreigners,16659.0,2004,Arrivals,3
March,Total,68062.0,2004,Overnight stays,3
March,Icelanders,19768.0,2004,Overnight stays,3
March,Foreigners,48294.0,2004,Overnight stays,3
April,Total,30005.0,2004,Arrivals,4
April,Icelanders,10526.0,2004,Arrivals,4
April,Foreigners,19479.0,2004,Arrivals,4
April,Total,71399.0,2004,Overnight stays,4
April,Icelanders,18840.0,2004,Overnight stays,4
April,Foreigners,52559.0,2004,Overnight stays,4
May,Total,36715.0,2004,Arrivals,5
May,Icelanders,10699.0,2004,Arrivals,5
May,Foreigners,26016.0,2004,Arrivals,5
May,Total,82528.0,2004,Overnight stays,5
May,Icelanders,18225.0,2004,Overnight stays,5
May,Foreigners,64303.0,2004,Overnight stays,5
June,Total,57060.0,2004,Arrivals,6
June,Icelanders,8733.0,2004,Arrivals,6
June,Foreigners,48327.0,2004,Arrivals,6
June,Total,113250.0,2004,Overnight stays,6
June,Icelanders,14676.0,2004,Overnight stays,6
June,Foreigners,98574.0,2004,Overnight stays,6
July,Total,87639.0,2004,Arrivals,7
July,Icelanders,9676.0,2004,Arrivals,7
July,Foreigners,77963.0,2004,Arrivals,7
July,Total,153187.0,2004,Overnight stays,7
July,Icelanders,14213.0,2004,Overnight stays,7
July,Foreigners,138974.0,2004,Overnight stays,7
August,Total,77342.0,2004,Arrivals,8
August,Icelanders,9413.0,2004,Arrivals,8
August,Foreigners,67929.0,2004,Arrivals,8
August,Total,138225.0,2004,Overnight stays,8
August,Icelanders,14374.0,2004,Overnight stays,8
August,Foreigners,123851.0,2004,Overnight stays,8
September,Total,40554.0,2004,Arrivals,9
September,Icelanders,10727.0,2004,Arrivals,9
September,Foreigners,29827.0,2004,Arrivals,9
September,Total,81892.0,2004,Overnight stays,9
September,Icelanders,17290.0,2004,Overnight stays,9
September,Foreigners,64602.0,2004,Overnight stays,9
October,Total,40459.0,2004,Arrivals,10
October,Icelanders,12426.0,2004,Arrivals,10
October,Foreigners,28033.0,2004,Arrivals,10
October,Total,84025.0,2004,Overnight stays,10
October,Icelanders,20827.0,2004,Overnight stays,10
October,Foreigners,63198.0,2004,Overnight stays,10
November,Total,25343.0,2004,Arrivals,11
November,Icelanders,12272.0,2004,Arrivals,11
November,Foreigners,13071.0,2004,Arrivals,11
November,Total,53042.0,2004,Overnight stays,11
November,Icelanders,18180.0,2004,Overnight stays,11
November,Foreigners,34862.0,2004,Overnight stays,11
December,Total,18839.0,2004,Arrivals,12
December,Icelanders,9033.0,2004,Arrivals,12
December,Foreigners,9806.0,2004,Arrivals,12
December,Total,37339.0,2004,Overnight stays,12
December,Icelanders,12337.0,2004,Overnight stays,12
December,Foreigners,25002.0,2004,Overnight stays,12
January,Total,15922.0,2005,Arrivals,1
January,Icelanders,7107.0,2005,Arrivals,1
January,Foreigners,8815.0,2005,Arrivals,1
January,Total,35953.0,2005,Overnight stays,1
January,Icelanders,11020.0,2005,Overnight stays,1
January,Foreigners,24933.0,2005,Overnight stays,1
February,Total,23697.0,2005,Arrivals,2
February,Icelanders,10184.0,2005,Arrivals,2
February,Foreigners,13513.0,2005,Arrivals,2
February,Total,53005.0,2005,Overnight stays,2
February,Icelanders,15907.0,2005,Overnight stays,2
February,Foreigners,37098.0,2005,Overnight stays,2
March,Total,28573.0,2005,Arrivals,3
March,Icelanders,11374.0,2005,Arrivals,3
March,Foreigners,17199.0,2005,Arrivals,3
March,Total,65181.0,2005,Overnight stays,3
March,Icelanders,20024.0,2005,Overnight stays,3
March,Foreigners,45157.0,2005,Overnight stays,3
April,Total,34829.0,2005,Arrivals,4
April,Icelanders,14811.0,2005,Arrivals,4
April,Foreigners,20018.0,2005,Arrivals,4
April,Total,77265.0,2005,Overnight stays,4
April,Icelanders,24841.0,2005,Overnight stays,4
April,Foreigners,52424.0,2005,Overnight stays,4
May,Total,42234.0,2005,Arrivals,5
May,Icelanders,12503.0,2005,Arrivals,5
May,Foreigners,29731.0,2005,Arrivals,5
May,Total,87202.0,2005,Overnight stays,5
May,Icelanders,20490.0,2005,Overnight stays,5
May,Foreigners,66712.0,2005,Overnight stays,5
June,Total,64629.0,2005,Arrivals,6
June,Icelanders,11168.0,2005,Arrivals,6
June,Foreigners,53461.0,2005,Arrivals,6
June,Total,123898.0,2005,Overnight stays,6
June,Icelanders,18506.0,2005,Overnight stays,6
June,Foreigners,105392.0,2005,Overnight stays,6
July,Total,91914.0,2005,Arrivals,7
July,Icelanders,11972.0,2005,Arrivals,7
July,Foreigners,79942.0,2005,Arrivals,7
July,Total,157970.0,2005,Overnight stays,7
July,Icelanders,18101.0,2005,Overnight stays,7
July,Foreigners,139869.0,2005,Overnight stays,7
August,Total,82830.0,2005,Arrivals,8
August,Icelanders,10791.0,2005,Arrivals,8
August,Foreigners,72039.0,2005,Arrivals,8
August,Total,154108.0,2005,Overnight stays,8
August,Icelanders,16470.0,2005,Overnight stays,8
August,Foreigners,137638.0,2005,Overnight stays,8
September,Total,46608.0,2005,Arrivals,9
September,Icelanders,11243.0,2005,Arrivals,9
September,Foreigners,35365.0,2005,Arrivals,9
September,Total,93913.0,2005,Overnight stays,9
September,Icelanders,17948.0,2005,Overnight stays,9
September,Foreigners,75965.0,2005,Overnight stays,9
October,Total,38548.0,2005,Arrivals,10
October,Icelanders,12972.0,2005,Arrivals,10
October,Foreigners,25576.0,2005,Arrivals,10
October,Total,86625.0,2005,Overnight stays,10
October,Icelanders,20392.0,2005,Overnight stays,10
October,Foreigners,66233.0,2005,Overnight stays,10
November,Total,28034.0,2005,Arrivals,11
November,Icelanders,13935.0,2005,Arrivals,11
November,Foreigners,14099.0,2005,Arrivals,11
November,Total,57429.0,2005,Overnight stays,11
November,Icelanders,20078.0,2005,Overnight stays,11
November,Foreigners,37351.0,2005,Overnight stays,11
December,Total,20759.0,2005,Arrivals,12
December,Icelanders,9575.0,2005,Arrivals,12
December,Foreigners,11184.0,2005,Arrivals,12
December,Total,42296.0,2005,Overnight stays,12
December,Icelanders,13808.0,2005,Overnight stays,12
December,Foreigners,28488.0,2005,Overnight stays,12
January,Total,18247.0,2006,Arrivals,1
January,Icelanders,8372.0,2006,Arrivals,1
January,Foreigners,9875.0,2006,Arrivals,1
January,Total,40367.0,2006,Overnight stays,1
January,Icelanders,13247.0,2006,Overnight stays,1
January,Foreigners,27120.0,2006,Overnight stays,1
February,Total,25432.0,2006,Arrivals,2
February,Icelanders,10547.0,2006,Arrivals,2
February,Foreigners,14885.0,2006,Arrivals,2
February,Total,55881.0,2006,Overnight stays,2
February,Icelanders,17855.0,2006,Overnight stays,2
February,Foreigners,38026.0,2006,Overnight stays,2
March,Total,35213.0,2006,Arrivals,3
March,Icelanders,16281.0,2006,Arrivals,3
