Country,YearMonth,Passengers,Year,Month_num,Month
Japan,2003M11,213.0,2003,11,November
Canada,2003M11,101.0,2003,11,November
Norway,2003M11,1703.0,2003,11,November
Spain,2003M11,68.0,2003,11,November
Switzherland,2003M11,50.0,2003,11,November
Sweden,2003M11,1812.0,2003,11,November
Germany,2003M11,608.0,2003,11,November
Other Countries,2003M11,1975.0,2003,11,November
Total Passengers,2003M12,28449.0,2003,12,December
Iceland,2003M12,17310.0,2003,12,December
Foreigners,2003M12,11139.0,2003,12,December
U.S.A.,2003M12,1881.0,2003,12,December
U.K.,2003M12,2314.0,2003,12,December
Denmark,2003M12,931.0,2003,12,December
Finland,2003M12,153.0,2003,12,December
France,2003M12,495.0,2003,12,December
Netherlands,2003M12,335.0,2003,12,December
Italy,2003M12,264.0,2003,12,December
Japan,2003M12,253.0,2003,12,December
Canada,2003M12,118.0,2003,12,December
Norway,2003M12,895.0,2003,12,December
Spain,2003M12,116.0,2003,12,December
Switzherland,2003M12,68.0,2003,12,December
Sweden,2003M12,900.0,2003,12,December
Germany,2003M12,679.0,2003,12,December
Other Countries,2003M12,1737.0,2003,12,December
Total Passengers,2004M01,34471.0,2004,1,January
Iceland,2004M01,21206.0,2004,1,January
Foreigners,2004M01,13265.0,2004,1,January
U.S.A.,2004M01,2479.0,2004,1,January
U.K.,2004M01,2553.0,2004,1,January
Denmark,2004M01,1114.0,2004,1,January
Finland,2004M01,295.0,2004,1,January
France,2004M01,772.0,2004,1,January
Netherlands,2004M01,313.0,2004,1,January
Italy,2004M01,231.0,2004,1,January
Japan,2004M01,487.0,2004,1,January
Canada,2004M01,138.0,2004,1,January
Norway,2004M01,1161.0,2004,1,January
Spain,2004M01,155.0,2004,1,January
Switzherland,2004M01,151.0,2004,1,January
Sweden,2004M01,1096.0,2004,1,January
Germany,2004M01,873.0,2004,1,January
Other Countries,2004M01,1447.0,2004,1,January
Total Passengers,2004M02,35515.0,2004,2,February
Iceland,2004M02,20091.0,2004,2,February
Foreigners,2004M02,15424.0,2004,2,February
U.S.A.,2004M02,2269.0,2004,2,February
